名称,地址,电话,营业时间
頌安,新界沙田馬鞍山頌安村頌安購物中心地下8號,2633 9027,星期一至日: 08:00-22:30
恒安,新界馬鞍山恒安村恆安商場2號227-231舖,2642 9848,星期一至日: 08:00-22:30
雅濤居,新界馬鞍山鞍駿街15號雅濤居地下01C號舖,2622 2326,星期一至日: 08:30-21:30
錦英,新界馬鞍山錦英苑商場低層 1摟12號,2617 2086,星期一至日: 08:30-21:30
錦泰,新界馬鞍山錦泰苑錦泰商場1樓101號舖,2778 5398,星期一至日: 08:00-22:00
富寶花園,新界沙田馬鞍山富寶花園購物商場1樓F14室,2631 2793,星期一至日: 08:30-21:30
銀湖天峰,新界烏溪沙西沙路599號銀湖天峰1號,2640 0591,星期一至日: 08:00-22:00
石門,新界沙田安平街1號地下28號,2854 1027,星期一至日: 08:30-21:00
碩門邨,新界沙田碩門商場P1層4號舖,2640 0093,星期一至日: 08:00-22:00
火炭,新界沙田火炭山尾街18-24號沙田商業中心6-7號舖,2886 5385,星期一至六:08:00-20:00星期日&公众假期：10:00-20:00 (Sun & PH)
廣源,新界沙田廣源村廣源購物中心1樓CB4/13室,2635 6710,星期一至日: 08:00-22:30
禾輋,新界沙田禾輋村禾輋廣場二樓206B號舖,2699 0351,星期一至日: 08:00-22:30
愉田苑,新界沙田愉田苑11-23號地下,2635 2092,星期一至日: 08:30-21:30
瀝源,新界沙田瀝源村瀝源廣場2樓1至3號舖,3428 5958,星期一至日: 08:30-21:30
怡成坊,新界沙田大涌橋路20號河畔花園商場地下21-23號舖,2787 5527,星期一至日: 08:30-22:00
沙角,新界沙田沙角邨商場3樓302號,2952 9300,星期一至日: 08:00-22:30
嘉豐花園,新界大埔露輝路 33號嘉豐花園地庫,2663 4145,星期一至日: 10:00-21:30
博康,新界沙田博康村第一期商業中心126室,2649 5936,星期一至日: 08:30-21:30
水泉澳,新界沙田水泉澳廣場2樓221舖,2411 6930,星期一至日: 10:00-20:00
水泉澳 2,新界沙田水泉澳邨地下201舖,2899 0413,星期一至日: 10:00-20:00
大埔廣福,新界大埔寶湖道28號廣福商場R2號舖,2513 7699,星期一至日: 08:30-21:30
富善邨,新界大埔富善邨富善商場2樓201號舖,2491 9538,星期一至日: 08:00-22:00
運頭塘,新界大埔運頭塘村30號地下,2651 4548,星期一至日: 08:00-22:00
翠塘,新界西貢翠塘路1號翠塘花園地下1-9號,2194 4291,星期一至日: 08:30-21:30
西貢大廈,新界福民路42-56號西貢大廈地下8-10號舖,2393 5728,星期一至日: 08:00-21:30
新興花園,新界大埔新興花園地下S1-28室,2664 0245,星期一至日: 08:30-21:30
秦石,新界沙田秦石村購物中心1樓28號,2647 2598,星期一至日: 08:30-21:30
大光里,"新界大埔大光里10-16 & 20-22號大運大廈地下B,B1,C1號舖",2653 1378,星期一至日: 07:30-20:30
大埔廣埸,新界大埔安泰路1號大埔廣場二樓32號舖,2667 7951,星期一至日: 08:30-22:00
廣褔道,新界大埔廣福道26-50號大埔大廈地下4-6號舖,2653 2391,星期一至日: 08:30-21:30
美林,新界沙田美林村商場地下29-32室,2605 0593,星期一至日: 08:00-22:00
悅安,新界大圍大圍道49-53號悅安大厦地下及地下1號舖,2408 6209,星期一至日: 08:00-22:00
美田,新界沙田大圍美田邨購物商場1樓101號,2634 5452,星期一至日: 08:00-22:00
隆亨,新界沙田隆亨村商業中心3樓215室,2254 6185,星期一至日: 08:00-22:00
瑞峰花園,"新界沙田大圍瑞峰花園旭達商場13,15-19號舖",2601 9881,星期一至日: 08:30-21:00
慈雲山1,九龍慈雲山永發大廈地下,2352 4925,星期一至日: 07:30-22:30
富山邨,九龍富山邨富禮樓地下3號舖,2690 1093,星期一至日: 08:30-22:00
鳳凰,九龍慈雲山翠鳳街道1-3號 LG/F,2352 4166,星期一至日: 08:30-21:00
新麗,九龍牛池灣瓊東街2號新麗花園地下,2352 0483,星期一至日: 08:30-21:30
竹園,九龍竹園廣場1樓S101號,2352 1326,星期一至日: 07:30-23:00
龍蟠苑,九龍鑽石山龍蟠苑購物中心地下110號,2351 7838,星期一至日: 08:00-22:00
翠竹花園,九龍黃大仙翠竹街8號翠竹花園商場4樓408號商舖,2887 7067,星期一至日: 09:00-21:00
天馬,九龍黃大仙天馬苑商場一樓F9號舖,2326 9085,星期一至日: 08:30-22:00
匯八坊,九龍清水灣道八號匯八坊地庫一層,3586 9414,星期一至日: 08:00-22:00
彩虹,九龍彩虹村金碧樓地下5-9號,2350 4526,星期一至日: 08:00-22:00
彩雲,九龍牛池灣清水灣道45號彩雲一村三期商場三樓B301號舖,2701 1244,星期一至日: 08:00-22:00
錦榮,九龍新蒲崗崇齡街2-12號,2350 2784,星期一至日: 08:30-22:00
寧遠街,九龍新蒲崗寧遠街10-20號地下A-D舖,2642 8033,星期一至日: 08:30-22:00
安蔭,新界葵涌安蔭村安蔭購物中心地下,2429 0850,星期一至日: 08:00-21:00
梨木樹,新界荃灣葵涌梨木樹村商場1樓127號舖,3580 1844,星期一至日: 08:00-22:30
麗晶花園,九龍九龍灣麗晶花園21座地下C1號,2305 9043,星期一至日: 08:00-22:00
得寶花園,九龍牛頭角道3 號得寶花園商場地下138 號舖,2382 3453,星期一至日: 08:30-22:00
石蔭,新界葵涌石蔭梨木村道118號地下,2424 2015,星期一至日: 08:00-21:00
順天,九龍順天村天磯樓208-211室,2790 1145,星期一至日: 08:00-23:00
畢架山,九龍畢架山龍平路9-13號購物中心E,2779 6624,星期一至日: 08:30-20:30
石籬2,新界葵涌石籬村第2期石籬購物商場地下11號舖,2421 5290,星期一至日: 08:00-22:30
,九龍九龍城獅子石道 45 & 47 號地下,2382 7918,星期一至日: 08:30-22:00
和宜合道,新界葵涌和宜合道26-30號地下,2422 6069,星期一至日: 08:30-22:30
安基,九龍牛頭角安基苑商業中心L1 G01 舖,2799 9218,星期一至日: 08:00-22:00
太子,九龍太子道西388-390號地下,2718 4096,星期一至日: 08:00-23:00
白田邨,九龍白田邨白田商場地下低層第二層LG201號舖,2335 9738,星期一至日: 08:30-22:00
慧安園,新界將軍澳毓雅里9號慧安園商場A20-34號舖,2558 1799,星期一至日: 09:00-21:00
又一村,九龍又一村又一樓雀橋街地下4 & 6號,2393 8216,星期一至日: 08:00-22:00
石籬,新界葵涌石籬(第一)村石秀樓2號地下,2422 1543,星期一至日: 09:00-21:00
秀茂坪商場,九龍觀塘秀茂坪村秀茂坪購物商場1樓102 舖,2354 8534,星期一至日: 08:00-23:00
葵興,新界葵涌葵興村葵興購物中心15號地舖,3586 1462,星期一至日: 08:00-23:00
華明,新界粉嶺華明邨華明商場地下21號14A舖,2450 0567,星期一至日: 08:30-22:00
真善美,九龍土瓜灣真善美村志真樓地下29-37號舖,2712 5316,星期一至日: 08:30-21:30
南昌街,九龍南昌街223-237號地下102室,2779 2515,星期一至日: 07:30-23:00
碧湖花園,新界粉嶺碧湖花園上層31號,2677 9324,星期一至日: 08:30-21:30
大坑東,九龍大坑東村東龍樓地下4-10號,2776 2922,星期一至日: 08:30-21:30
花都廣場,新界粉嶺花都廣場地下132號舖,2682 1458,星期一至日: 08:00-23:00
新都城三期,"新界將軍澳新都城中心三期 1 樓 132D, OSA 132D, 132E, 134A & 134B 舖",2371 3510,星期一至日: 08:00-23:00
順寧道,九龍順寧道麗寶花園地下4號,2743 7438,星期一至日: 08:30-22:30
多喜大廈,九龍牛頭角定富街9-17號及定安街86-88號多喜大廈地下2-3號商舖,2628 4308,星期一至日: 09:00-21:00
馬頭角道,九龍土瓜灣馬頭角道40號東南工廠大廈地下A舖,3426 4023,星期一至日: 08:00-23:00
宇宙商場,九龍長沙灣青山道164-170號宇宙大廈宇宙商場地庫,2344 6866,星期一至日: 09:00-21:30
